,Price,Surface,Building_type,District,Rent,Number_of_rooms,Condition
1,926900,71.3,blok mieszkalny,Ołbin,800,4,do wykończenia
2,2500000,105,blok mieszkalny,Stare Miasto,998,4,bardzo dobry
3,1194000,67.9,blok mieszkalny,Kleczków,680,4,do wykończenia
4,934124,91.35,apartamentowiec,Krzyki,910,5,do wykończenia
5,575000,46.54,blok mieszkalny,Krzyki,370,3,do remontu
6,569000,36.12,blok mieszkalny,Jagodno,450,2,wysoki standard
7,504530,38.81,blok mieszkalny,Krzyki,581,1,dobry
8,507000,35.63,blok mieszkalny,Krzyki,450,2,do wykończenia
9,559000,39.3,apartamentowiec,Klecina,595,2,wysoki standard
10,579000,48,blok mieszkalny,Huby,530,3,dobry
11,495000,33.5,blok mieszkalny,Borek,600,2,dobry
12,683519,57,blok mieszkalny,Księże,650,3,do wykończenia
13,821888,74.69,blok mieszkalny,Poświętne,600,3,bardzo dobry
14,884561,50.91,blok mieszkalny,Stare Miasto,600,2,do wykończenia
15,749000,63,apartamentowiec,Partynice,750,3,wysoki standard
16,635000,45.18,apartamentowiec,Nadodrze,650,2,bardzo dobry
17,489000,58.42,kamienica,Przedmieście Oławskie,330,2,do remontu
18,349799,20.31,blok mieszkalny,Grabiszyn,350,1,bardzo dobry
19,718625,52.3,blok mieszkalny,Krzyki,650,3,do wykończenia
20,1058661,82.07,blok mieszkalny,Poświętne,800,4,do wykończenia
21,621045,40.18,blok mieszkalny,Kleczków,450,1,do wykończenia
22,685000,28,apartamentowiec,Stare Miasto,400,1,do wykończenia
23,570000,43.87,dom wielorodzinny,Ołbin,630,2,bardzo dobry
24,562408,46.48,blok mieszkalny,Brochów,400,2,deweloperski
25,1148000,79.28,blok mieszkalny,Klecina,890,4,do wykończenia
26,749674,45.95,blok mieszkalny,Stare Miasto,600,2,bardzo dobry
27,549000,41.2,kamienica,Nadodrze,100,2,wysoki standard
28,845300,55.86,apartamentowiec,Klecina,670,3,do wykończenia
29,629100,64,kamienica,Krzyki,700,3,do remontu
30,1391000,81.46,blok mieszkalny,Kleczków,820,4,do wykończenia
31,555000,40.76,blok mieszkalny,Psie Pole,570,2,do odświeżenia
32,599000,54.5,blok mieszkalny,Krzyki,350,3,do remontu
33,723980,59.1,blok mieszkalny,Huby,600,3,nowe wykończone
34,1160465,97.11,blok mieszkalny,Jagodno,970,5,do wykończenia
35,609000,32.28,blok mieszkalny,Szczepin,320,1,do wykończenia
36,442260,28.35,blok mieszkalny,Muchobór Mały,450,1,do wykończenia
37,620000,44.23,blok mieszkalny,Grabiszyn,600,3,bardzo dobry
38,1617260,89.15,apartamentowiec,Kleczków,890,5,do wykończenia
39,935000,62.48,blok mieszkalny,Stare Miasto,960,2,dobry
40,760000,65.04,blok mieszkalny,Jagodno,1100,3,wysoki standard
41,7.00E+05,72,kamienica,Ołbin,700,3,bardzo dobry
42,705000,59,blok mieszkalny,Ołbin,770,4,do odświeżenia
43,795000,79.9,blok mieszkalny,Leśnica,350,4,bardzo dobry
44,699000,55.5,apartamentowiec,Jagodno,930,2,bardzo dobry
45,459000,36,blok mieszkalny,Kozanów,500,2,bardzo dobry
46,549000,60,kamienica,Kleczków,500,2,dobry
47,759000,36.5,apartamentowiec,Szczepin,400,2,nowe wykończone
48,830000,67.23,blok mieszkalny,Jagodno,1400,3,bardzo dobry
49,1099000,93.49,apartamentowiec,Ołtaszyn,900,4,bardzo dobry
50,449000,39.6,blok mieszkalny,Borek,550,2,do remontu
